xclass,cap_color,weight,height
e,y,6.122458147230498,7.143688825977103
e,w,4.709259482755163,7.398728218708061
p,w,2.341550835653526,4.733058601184218
e,g,3.954025232202838,4.040426678653745
e,y,3.4564290775108804,6.4224661665360845
e,w,1.5812187522051984,6.249765334661086
p,w,4.656328063736687,2.749401293022801
e,y,5.528881440018184,9.222293479977893
e,y,3.77973844799238,7.6564614075310224
e,y,4.7097954952491765,6.61297948794187
e,y,2.856920915707824,8.857271884795841
p,w,2.61517847474287,4.403128300473262
e,g,5.356930743765842,7.865908535261882
e,w,4.0903038686605,6.586530679744038
p,n,4.800871550698256,6.4468938655480335
p,w,4.184342575108662,6.059656841074691
p,n,2.36455262715632,5.473239259669478
e,y,4.05735585809853,5.090572600069041
p,n,2.341932926401972,3.4314700935684175
e,y,3.312288393260148,2.6645318522238073
e,w,2.334329488605345,4.566325725601515
e,w,6.572107167365148,6.65910296361522
p,w,5.330054976931076,5.107918130809612
e,y,4.392500490516162,6.305266396750084
e,n,3.8416320931475005,3.0930348479507117
e,y,5.027103222207966,3.703673985434929
p,w,3.674013097362928,3.730805268854537
e,y,2.086576621048658,3.8815185308904496
e,y,4.308669288488699,5.24425853028378
e,g,3.6881117399165317,5.670708931384431
p,n,3.6805221618322164,6.190299903573812
e,y,5.686042193575429,7.378246609886916
e,y,4.296867322825539,8.099861925010082
e,y,4.390018298932571,6.457009432887184
e,n,5.401131287846061,3.3649431810767636
e,y,3.379296111646439,6.370597075406727
e,y,5.08633844285066,6.005267948654124
e,y,3.9734027306668827,5.814575955369079
e,y,5.02294310468357,6.525151759438643
e,n,5.020987698604365,5.108883856357695
e,w,4.429519035586539,6.481806120176352
e,w,3.27602586830703,7.173202755357974
p,w,4.484490452113966,2.974908314247796
e,y,4.037109656308475,8.24332037922317
e,g,2.2657430343242724,8.735862357626079
e,w,6.683111828786347,7.106924110515654
e,y,4.128340083425167,3.5590298660918878
e,g,6.681144742534667,2.5382225907489095
e,y,5.44807096373276,6.830451905621265
e,y,5.484677633213618,6.636795826353958
e,y,4.863095668300968,4.699888024147225
e,y,4.177606205663174,4.776709213936014
e,g,7.538464707796353,7.70928538758951
e,y,2.9809529992747366,5.167384612130139
e,w,5.450152171170634,3.8731814589657354
e,y,5.878126330377505,4.175939197616393
e,n,6.2592840210590195,8.05847445305712
e,y,3.7301405228758173,3.3479564545503075
e,y,5.641560282412925,6.196291906851111
e,w,4.497449046500875,4.36414768118044
p,n,3.504216839710445,4.172990388277126
e,n,4.924194392654062,6.2592564923017555
e,n,4.223369759714997,2.9254771212972477
p,w,1.7362906567847365,6.561468846215453
e,g,5.611204826637241,6.83218478416341
e,g,4.621275074522638,4.048130599733981
e,y,2.4466286943171567,6.409359720044008
e,w,6.023672680410979,6.822275816411745
e,w,5.704330183323768,9.054484815415051
e,n,6.9899450491335,8.625284670093098
e,n,3.90733205043876,2.7101146842469213
e,n,3.678913736729265,8.576747626662474
e,w,6.661171404396017,3.9076286900600437
e,y,3.1323846860178106,4.028408732952655
e,n,5.096577972191183,4.249931286790099
e,w,4.63157928259953,5.0464526272423695
e,n,4.441608166511535,2.1364329991790676
e,y,4.249134687196859,4.681197226459052
e,w,2.8970110309615715,4.505408293892327
e,y,4.001031080747565,4.08018974622788
e,y,5.255408637516245,5.107139842944456
e,w,3.0940201334490887,8.89956542000788
e,y,3.3723080582316687,4.161010038753908
e,y,4.276976614078183,3.268719610188364
e,w,6.512396475891899,7.591034153836506
e,w,2.75529286278058,8.716823466680854
e,y,2.1103730323802044,3.490635171245678
e,g,4.544590784242312,7.5639091983964635
e,w,2.2670022262375604,5.041862571068876
e,y,2.7244078386254627,6.478621486431306
e,y,3.7439812471100633,5.853216652523875
e,g,4.924338895382036,6.154077298045307
e,y,2.889172797364714,8.708454385444298
e,y,4.57624737780713,5.031899059753517
e,n,3.9788408899813796,6.645607603586918
p,w,3.5749902598523673,3.87991698638562
e,w,3.374238468937752,3.3826994312661482
p,n,3.245097892998789,7.754625479563893
e,g,5.416812190172051,4.100904987938901
e,w,3.6337482746210403,4.817097276322169
e,g,5.702255063730378,3.639150430223643
e,w,5.886456428298521,4.337808602795484
e,w,4.765522258493499,9.132357122793174
e,w,6.9753022219542355,2.9727407569879496
e,w,3.642335685296027,2.3154532433691886
